f	2L_ET
227.0	-0.01877961640019709
228.0	-0.017427961426279795
229.0	-0.016042562352601573
230.0	-0.01462839361926491
231.0	-0.013190437849748616
232.0	-0.011733670594864739
233.0	-0.010263045323434038
234.0	-0.008783478700070142
235.0	-0.00729983618912668
236.0	-0.005816918022430222
237.0	-0.004339445566901943
238.0	-0.0028720481265597612
239.0	-0.001419250211707069
240.0	1.454069364866667e-05
241.0	0.0014250458369369466
242.0	0.0028081263474069064
243.0	0.0041597938063862375
244.0	0.005476220214051055
245.0	0.006753747331388681
246.0	0.007988895378119193
247.0	0.009178371069457233
248.0	0.010319074976736805
249.0	0.011408108199082136
250.0	0.012442778335479777
251.0	0.013420604748787103
252.0	0.01433932311538942
253.0	0.01519688925639134
254.0	0.015991482248387083
255.0	0.016721506813995084
256.0	0.017385594994458548
257.0	0.017982607108699238
258.0	0.01851163200526053
259.0	0.01897198661558343
260.0	0.01936321481901931
261.0	0.01968508563189074
262.0	0.019937590734761847
263.0	0.020120941353868178
264.0	0.020235564514376612
265.0	0.02028209868479657
266.0	0.020261388833438598
267.0	0.020174480919312364
268.0	0.020022615841269666
269.0	0.019807222870525873
270.0	0.01952991259293187
271.0	0.019192469388516317
272.0	0.018796843476870863
273.0	0.01834514255790932
274.0	0.017839623078390137
275.0	0.017282681155352878
276.0	0.016676843188277654
277.0	0.016024756192335878
278.0	0.01532917788555478
279.0	0.01459296656307366
280.0	0.013819070791919266
281.0	0.01301051895987688
282.0	0.012170408712082163
283.0	0.011301896308904024
284.0	0.010408185938537672
285.0	0.009492519017474516
286.0	0.008558163511671286
287.0	0.007608403310796449
288.0	0.006646527687402126
289.0	0.005675820872244726
290.0	0.0046995517762688545
291.0	0.0037209638889772294
292.0	0.002743265382034423
293.0	0.0017696194460008682
294.0	0.0008031348870729954
295.0	-0.0001531429903936718
296.0	-0.0010962411909574768
297.0	-0.002023267501360948
298.0	-0.002931418607879561
299.0	-0.003817987836960978
300.0	-0.004680372499746567
301.0	-0.005516080822491831
302.0	-0.006322738446365951
303.0	-0.007098094481606995
304.0	-0.007840027102537894
305.0	-0.008546548671499692
306.0	-0.009215810381330479
307.0	-0.009846106407604693
308.0	-0.010435877563444992
309.0	-0.010983714451319213
310.0	-0.011488360107838203
311.0	-0.011948712139167074
312.0	-0.012363824346249542
313.0	-0.012732907840620634
314.0	-0.013055331653135905
315.0	-0.013330622839479667
316.0	-0.013558466087816844
317.0	-0.013738702835427455
318.0	-0.013871329902597663
319.0	-0.013956497653439086
320.0	-0.013994507694659743
321.0	-0.013985810124615812
322.0	-0.013931000346227193
323.0	-0.013830815458539735
324.0	-0.013686130242859643
325.0	-0.013497952760467207
326.0	-0.013267419579936634
327.0	-0.012995790653041656
328.0	-0.012684443859113085
329.0	-0.012334869238529092
330.0	-0.011948662936765275
331.0	-0.011527520881099753
332.0	-0.01107323221266833
333.0	-0.010587672497082083
334.0	-0.010072796737266555
335.0	-0.009530632212547414
336.0	-0.008963271168297343
337.0	-0.00837286338067011
338.0	-0.007761608621082692
339.0	-0.007131749045163057
340.0	-0.006485561530859423
341.0	-0.005825349990314595
342.0	-0.005153437679933788
343.0	-0.004472159532833548
344.0	-0.0037838545375396358
345.0	-0.0030908581864164363
346.0	-0.0023954950168522445
347.0	-0.0017000712677031071
348.0	-0.0010068676729106472
349.0	-0.00031813241355640315
350.0	0.00036392575108811637
351.0	0.0010371441537292692
352.0	0.001699412671464626
353.0	0.0023486799423450833
354.0	0.0029829593289030874
355.0	0.003600334612432315
356.0	0.004198965402803628
357.0	0.00477709224964701
358.0	0.0053330414418046625
359.0	0.005865229483064609
360.0	0.006372167233321039
361.0	0.006852463705459613
362.0	0.007304829509444679
363.0	0.007728079936273142
364.0	0.00812113767566506
365.0	0.00848303516256808
366.0	0.008812916548769173
367.0	0.009110039297120084
368.0	0.00937377539709356
369.0	0.009603612201591729
370.0	0.00979915288611825
371.0	0.009960116532605853
372.0	0.010086337841348221
373.0	0.01017776647562521
374.0	0.010234466044721573
375.0	0.010256612732125931
376.0	0.01024449357674944
377.0	0.010198504416023504
378.0	0.010119147500718111
379.0	0.010007028792265052
380.0	0.009862854954270016
381.0	0.009687430050753355
382.0	0.009481651964466596
383.0	0.009246508549391824
384.0	0.008983073532237285
385.0	0.008692502178399179
386.0	0.008376026738458
387.0	0.008034951691823666
388.0	0.00767064880463061
389.0	0.007284552019412323
390.0	0.0068781521944566324
391.0	0.006452991711051628
392.0	0.006010658967085178
393.0	0.005552782775647771
394.0	0.005081026687422262
395.0	0.004597083255709407
396.0	0.004102668262951199
397.0	0.0035995149275612082
398.0	0.003089368109764049
399.0	0.0025739785349784376
400.0	0.0020550970530540044
401.0	0.0015344689513943459
402.0	0.0010138283396610888
403.0	0.0004948926233713773
404.0	-2.0642916741713327e-05
405.0	-0.0005311104232204635
406.0	-0.0010348746223781506
407.0	-0.001530337831529784
408.0	-0.0020159447983154524
409.0	-0.0024901873581364177
