f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
175.0	-0.014683253487671319	-0.006695785516020915	-0.022389139145267595	-0.0022673158201414146
176.0	-0.008813075473866111	-0.011514089264978676	-0.019610096904346966	-0.007410309337286525
177.0	-0.00239826730884664	-0.015555115469546807	-0.015540387554736614	-0.012034566196027639
178.0	0.0041109454753532094	-0.01857399589613424	-0.010468542301953104	-0.015858524820956347
179.0	0.010262806039147	-0.020392647596235117	-0.004747330751360508	-0.01865342520377153
180.0	0.01563527006176856	-0.020910193905948418	0.0012306662025380864	-0.02025691963729902
181.0	0.01986485617544543	-0.020108440816409653	0.007059892024121282	-0.020582419750853877
182.0	0.022671137688745006	-0.018052119392587444	0.012349231096787766	-0.01962364678785346
183.0	0.023875231927080985	-0.014883935003870355	0.0167481591090054	-0.017454154529795835
184.0	0.023411075043918372	-0.010814788211823243	0.01996988475181197	-0.014221907825361993
185.0	0.02132878069015922	-0.006109830081172776	0.02180996051936432	-0.010139304841178115
186.0	0.017789934481554887	-0.0010712681187819099	0.022159160482894822	-0.005469309140244026
187.0	0.013055234193221897	0.003980967358950444	0.02100982028081307	-0.0005085916117607854
188.0	0.007465409544068904	0.008729464350858376	0.01845528180725581	0.0044312418887795255
189.0	0.0014168095567371633	0.012879201656167507	0.014682551699825462	0.009043153859986776
190.0	-0.004666600794818396	0.01617581272299859	0.009958737245828993	0.013043692956140676
191.0	-0.010362862969555882	0.018421114122842603	0.004612235393276531	0.016190352264793637
192.0	-0.015281202986485462	0.019484954453484766	-0.0009900070354651232	0.018296208770955367
193.0	-0.019088753681371633	0.019312679201736006	-0.006467593338010549	0.01924096386099302
194.0	-0.02153299944102091	0.017927788473059748	-0.011452425857069175	0.01897773656818043
195.0	-0.022458435532227566	0.015429669527657487	-0.015613366175230384	0.017535230951950993
196.0	-0.02181634885074097	0.011986595459806878	-0.018678159458214324	0.01501518947415153
197.0	-0.019667112961371063	0.007824475741708055	-0.020451176063174547	0.01158533730775024
198.0	-0.016174913452984028	0.0032121054718949977	-0.020825818952693382	0.007468300020731077
199.0	-0.011595343435420968	-0.001556127978245937	-0.019790815310652528	0.002927221991715542
200.0	-0.006256797310879692	-0.006178972407140118	-0.017430029496165678	-0.0017509896151690421
201.0	-0.0005370104077464378	-0.010367284788876498	-0.013915873515200492	-0.0062737322329989706
202.0	0.005163585613841937	-0.013862060372952243	-0.009496820866352071	-0.010360952505388292
203.0	0.01044981780238599	-0.016450396067667468	-0.004479921168142923	-0.013762433932799432
204.0	0.014959091134933022	-0.017978407432464833	0.0007904595282937048	-0.016273063589389437
205.0	0.018386188308410364	-0.01836031879569564	0.005956205780502205	-0.017745149475636827
206.0	0.020503858688653058	-0.017583193173706838	0.010669719022064582	-0.018097051882940973
207.0	0.021177812241219358	-0.015707046892142147	0.014617243183571835	-0.017317627829741507
208.0	0.020375134252602373	-0.012860385402704705	0.01753968858069185	-0.015466252171202503
209.0	0.01816560089075704	-0.009231483376933275	0.019249575975797753	-0.012668455723467325
210.0	0.01471587148731619	-0.005055995852636623	0.01964299665723281	-0.00910749241320437
211.0	0.010277026307762314	-0.000601711713604448	0.01870583001468471	-0.005012397269305521
212.0	0.005166374487923948	0.003848567596293956	0.01651385353324261	-0.0006433097287826271
213.0	-0.0002551554032119041	0.00801493275024926	0.01322679450171101	0.003725000614130287
214.0	-0.005608436233927069	0.011637924125657418	0.009076779989700702	0.007820365661247749
215.0	-0.010522588914939339	0.014494643902107767	0.004352014481080441	0.01139013016904884
216.0	-0.014660614396893912	0.016412424893035696	-0.0006231717947478805	0.01421669479611438
217.0	-0.017742443835414956	0.017279220580275433	-0.005510526872830305	0.01613073728416771
218.0	-0.019563834376251858	0.01705009397988036	-0.009980817271742722	0.017021311022848526
219.0	-0.020009839705324488	0.0157494332348252	-0.013735952379514907	0.01684222140026269
220.0	-0.01906197140607685	0.013468793198928937	-0.016528809812313215	0.015614316932197291
221.0	-0.016798611764926356	0.010360537558596157	-0.018179446600580965	0.013423589200186006
222.0	-0.013388709714606347	0.006627717951496275	-0.018586636129046222	0.010415236982227778
223.0	-0.009079256300273607	0.0025108587880628063	-0.017733994929671995	0.00678409937190802
224.0	-0.0041774623149594264	-0.0017274952344307297	-0.015690334288038666	0.0027620847750413294
225.0	0.0009710805651142171	-0.005819479034781521	-0.012604263816173826	-0.001396596102134738
226.0	0.006006706929608337	-0.00950879491275533	-0.008693461095075477	-0.005431455701006242
227.0	0.010580747431428762	-0.012566726016621751	-0.004229377205445499	-0.009092005824428685
228.0	0.014379617587269562	-0.014806277399672189	0.00048155122401008954	-0.012153270052825665
229.0	0.01714626494355117	-0.016093572664688333	0.005118886689715105	-0.014429574001135068
230.0	0.018697511216815232	-0.016355813940831816	0.009369938577619747	-0.015785770327591993
231.0	0.018936122884442255	-0.015585334591289106	0.012950801236880853	-0.016145222090232263
232.0	0.017856818802402755	-0.013839523359080412	0.015625269955655267	-0.015494075359162224
233.0	0.015545850144371423	-0.011236659754831771	0.017220377430531064	-0.013881586714461637
234.0	0.012174236326109545	-0.007947956898929406	0.0176375317146221	-0.011416518581308214
235.0	0.007985179387714156	-0.00418634370636158	0.016858541669713647	-0.008259859805812756
236.0	0.003276578261909433	-0.00019271863283519314	0.014946166540457637	-0.004614355292922618
237.0	-0.0016201038254598506	0.003779440091237886	0.012039198426923279	-0.0007115229916904181
238.0	-0.006363123310635517	0.0074801269165336885	0.008342454914761151	0.003203012798478837
239.0	-0.010624259410815112	0.010678509766762717	0.0041123991428274	0.006884944920758243
240.0	-0.01411148171708588	0.013177295242122657	-0.0003606065224304322	0.010106497303883868
241.0	-0.016588919881024632	0.014824866269908659	-0.0047721883203973815	0.01267048395271166
242.0	-0.017892772804136946	0.015524447460364495	-0.008824631172550735	0.014422347156037466
243.0	-0.017942087302873007	0.015239746224773695	-0.012246930063918124	0.015259441860601464
244.0	-0.016743700549704622	0.013996743620482636	-0.014812874886422888	0.01513701046510472
245.0	-0.014391050873578953	0.011881553458222963	-0.01635596442377257	0.014070502739528559
246.0	-0.011056988956505386	0.009034515938391274	-0.016780168714951034	0.012134125824112779
