f	Total	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
12.004403522818256	2.0008720554516112e-10	4.494075374702783e-11	1.604450013063486e-11	6.737615161437232e-11	2.8149543930665966e-11	1.8116828045509682e-13	2.2279672555500676e-13	1.0426691273194563e-13	1.4376230282379875e-13	3.212796504762651e-11	3.212796504762651e-11	4.8681201960175e-11	4.8681201960175e-11	1.507156268052701e-11	1.507156268052701e-11	2.426137200678031e-11	2.426137200678031e-11	1.5280796803598488e-13	1.5280796803598488e-13	1.9038818438175626e-13	1.9038818438175626e-13	1.0087253623522393e-13	1.0087253623522393e-13	1.3245156454237078e-13	1.3245156454237078e-13
13.00480384307446	2.1077254115976836e-10	4.732020446242825e-11	1.689129989013055e-11	7.094832772105032e-11	2.963767056034549e-11	1.9053347325730943e-13	2.343308311042918e-13	1.0963128354996301e-13	1.5117739453644727e-13	3.3827219449634054e-11	3.3827219449634054e-11	5.1259228732516783e-11	5.1259228732516783e-11	1.5866852476878843e-11	1.5866852476878843e-11	2.5543365904609184e-11	2.5543365904609184e-11	1.6069488700911558e-13	1.6069488700911558e-13	2.0023278739799104e-13	2.0023278739799104e-13	1.0606061170773229e-13	1.0606061170773229e-13	1.392783059448284e-13	1.392783059448284e-13
14.005204163330665	2.2115669316970196e-10	4.9630200359645975e-11	1.7713056933372715e-11	7.441681280450617e-11	3.108208486622994e-11	1.9959684957698204e-13	2.454954669260627e-13	1.1481940089866044e-13	1.5835134991641204e-13	3.547665712246037e-11	3.547665712246037e-11	5.376206821132646e-11	5.376206821132646e-11	1.6638603373473906e-11	1.6638603373473906e-11	2.6787631868167064e-11	2.6787631868167064e-11	1.6832601908453092e-13	1.6832601908453092e-13	2.0976049522503203e-13	2.0976049522503203e-13	1.110780062752796e-13	1.110780062752796e-13	1.4588238703228396e-13	1.4588238703228396e-13
15.005604483586872	2.312670684628411e-10	5.1876972029622627e-11	1.8512004537594754e-11	7.779093134691532e-11	3.248669715482377e-11	2.0838416450003856e-13	2.5632226416627967e-13	1.198461502136097e-13	1.6530464755941574e-13	3.708073833549036e-11	3.708073833549036e-11	5.619646778049506e-11	5.619646778049506e-11	1.7388913730886553e-11	1.7388913730886553e-11	2.7997542004554492e-11	2.7997542004554492e-11	1.7572311817048654e-13	1.7572311817048654e-13	2.189983669261176e-13	2.189983669261176e-13	1.1593912488465643e-13	1.1593912488465643e-13	1.5228268730980477e-13	1.5228268730980477e-13
16.006004803843076	2.4112686992040143e-10	5.4065794965941546e-11	1.9290033640852223e-11	8.107857841979301e-11	3.385481832660348e-11	2.1691722235402738e-13	2.668380020630766e-13	1.2472413322421303e-13	1.7205462449127613e-13	3.864323964581807e-11	3.864323964581807e-11	5.856814050434984e-11	5.856814050434984e-11	1.811956025108767e-11	1.811956025108767e-11	2.917595151501551e-11	2.917595151501551e-11	1.8290460104082567e-13	1.8290460104082567e-13	2.2796931082986115e-13	2.2796931082986115e-13	1.2065616246279885e-13	1.2065616246279885e-13	1.5849518995563747e-13	1.5849518995563747e-13
17.00640512409928	2.507559628860498e-10	5.620118625792757e-11	2.0048763331350237e-11	8.428651408674123e-11	3.518928330590144e-11	2.2521469137576214e-13	2.770656082186778e-13	1.2946413920489407e-13	1.7861612417606913e-13	4.016739469255664e-11	4.016739469255664e-11	6.088197813861858e-11	6.088197813861858e-11	1.8832064208030635e-11	1.8832064208030635e-11	3.0325305133777934e-11	3.0325305133777934e-11	1.8988623562087247e-13	1.8988623562087247e-13	2.3669294039578197e-13	2.3669294039578197e-13	1.252395599822779e-13	1.252395599822779e-13	1.645335793091629e-13	1.645335793091629e-13
18.006805444355486	2.601715226721117e-10	5.828705160785005e-11	2.0789593538391195e-11	8.742058344584e-11	3.64925433013975e-11	2.3329271298968694e-13	2.8702490666199444e-13	1.3407549745724642e-13	1.8500198117806475e-13	4.1655999435635677e-11	4.1655999435635677e-11	6.314221034352472e-11	6.314221034352472e-11	1.952774095543804e-11	1.952774095543804e-11	3.1447716689074685e-11	3.1447716689074685e-11	1.9668165576581919e-13	1.9668165576581919e-13	2.45186214299556e-13	2.45186214299556e-13	1.296983455876275e-13	1.296983455876275e-13	1.7040968775525527e-13	1.7040968775525527e-13
19.00720576461169	2.693885275139528e-10	6.032679727953322e-11	2.1513745157930036e-11	9.048588417901984e-11	3.776673606198425e-11	2.4116536602272587e-13	2.9673318778480515e-13	1.3856634589901164e-13	1.912233904492633e-13	4.31114922935502e-11	4.31114922935502e-11	6.53525259186044e-11	6.53525259186044e-11	2.0207737628468716e-11	2.0207737628468716e-11	3.254502968915805e-11	3.254502968915805e-11	2.0330275348929814e-13	2.0330275348929814e-13	2.5346392411662645e-13	2.5346392411662645e-13	1.3404039453321193e-13	1.3404039453321193e-13	1.761338362329604e-13	1.761338362329604e-13
20.007606084867895	2.784201400450972e-10	6.232341674803237e-11	2.2222291112640615e-11	9.348689623302263e-11	3.901374025773026e-11	2.488450262167957e-13	3.062056497159874e-13	1.4294383909544832e-13	1.9729019333932885e-13	4.4536016172665354e-11	4.4536016172665354e-11	6.75161666393879e-11	6.75161666393879e-11	2.087306232768497e-11	2.087306232768497e-11	3.3618864218855614e-11	3.3618864218855614e-11	2.0975998273637287e-13	2.0975998273637287e-13	2.615390720077359e-13	2.615390720077359e-13	1.3827263051546435e-13	1.3827263051546435e-13	1.8171509796073045e-13	1.8171509796073045e-13
21.0080064051241	2.872780068116547e-10	6.427955874590455e-11	2.2916180745423184e-11	9.642758365498771e-11	4.023521818702816e-11	2.5634264871154923e-13	3.1545574511534255e-13	1.4721431173360315e-13	2.0321110233504138e-13	4.5931467180266854e-11	4.5931467180266854e-11	6.9636000947447e-11	6.9636000947447e-11	2.1524607039229358e-11	2.1524607039229358e-11	3.467065376944145e-11	3.467065376944145e-11	2.1606259807735602e-13	2.1606259807735602e-13	2.6942316747912387e-13	2.6942316747912387e-13	1.4240118388397077e-13	1.4240118388397077e-13	1.8716150566822775e-13	1.8716150566822775e-13
