f HF LF HF_LF
1.351170755106704480e+00 3.864610616239336948e-37 1.554110818305690004e-34 3.855024319216999244e-37
1.355326764406081130e+00 3.596629954589829106e-37 1.252524867325119906e-34 3.586331789119158925e-37
1.359495556999672061e+00 3.347650432032798522e-37 1.009429860747627425e-34 3.336585056576311037e-37
1.363677172207074628e+00 3.116290701123267767e-37 8.134883727212375283e-35 3.104398449990133694e-37
1.367871649468827222e+00 2.901272657404940344e-37 6.555592608857742610e-35 2.888489229084169941e-37
1.372079028346781859e+00 2.701413484756100342e-37 5.282724498091735492e-35 2.687669616516803817e-37
1.376299348524477217e+00 2.515618334162066581e-37 4.256859916101559167e-35 2.500839464918685460e-37
1.380532649807513002e+00 2.342873583661909272e-37 3.430094928311063459e-35 2.326979508037048832e-37
1.384778972123924978e+00 2.182240631693142749e-37 2.763810717201936540e-35 2.165145149397194055e-37
1.389038355524562451e+00 2.032850180131646398e-37 2.226874912030904778e-35 2.014460746271655971e-37
1.393310840183464627e+00 1.893896967040716476e-37 1.828275307523053229e-35 1.874479372850097349e-37
1.397596466398240977e+00 1.764634912527793699e-37 1.513539802348378051e-35 1.744298153528797913e-37
1.401895274590450713e+00 1.644372644196798882e-37 1.252943400051687267e-35 1.623071330070101150e-37
1.406207305305983812e+00 1.532469371501234598e-37 1.037180646873759678e-35 1.510156303015751473e-37
1.410532599215443161e+00 1.428331080875501374e-37 8.585442669187534857e-36 1.404957281414367642e-37
1.414871197114529799e+00 1.331407025869411855e-37 7.106508952288041026e-36 1.306921798641036603e-37
1.419223139924425503e+00 1.241186488656110000e-37 5.882138416295804994e-36 1.215537504889527168e-37
1.423588468692180253e+00 1.157195791242634284e-37 4.868548269155217484e-36 1.130329215447918345e-37
1.427967224591099038e+00 1.078995536503861477e-37 4.029480126223349592e-36 1.050856195716293575e-37
1.432359448921129541e+00 1.006178060797835997e-37 3.334907892847035248e-36 9.767096656015159579e-38
1.436765183109252941e+00 9.383650814181607934e-38 2.759967360461819689e-36 9.075105074331675006e-38
1.441184468709873379e+00 8.752055235096996422e-38 2.284069502313426459e-36 8.429071628855536891e-38
1.445617347405210529e+00 8.163735123277154539e-38 1.919532575157650483e-36 7.830697082458494230e-38
1.450063861005693067e+00 7.615665178687831726e-38 1.615576838850259852e-36 7.272831295958258784e-38
1.454524051450352129e+00 7.105036399535580602e-38 1.359705930635035041e-36 6.752205226063326178e-38
1.458997960807217220e+00 6.629240228042785917e-38 1.144320281547252963e-36 6.266227130722915738e-38
1.463485631273713672e+00 6.185853890430318927e-38 9.630202451305773192e-37 5.812494728841413773e-38
1.467987105177060103e+00 5.772626838457075795e-38 8.104168191744488194e-37 5.388782042666894593e-38
1.472502424974666990e+00 5.387468207286130506e-38 6.819721959436295872e-37 4.993027263774125517e-38
1.477031633254538123e+00 5.028435211250594554e-38 5.738654447238880246e-37 4.623321554210140525e-38
1.481574772735672285e+00 4.693722405335868622e-38 4.828793691587908636e-37 4.277898697648966457e-38
