f HF LF HF_LF
1.184016585437235758e+00 5.566788052318588130e-36 2.067204925929508356e-30 5.566773061523345503e-36
1.187658452256137087e+00 5.140082988571622791e-36 1.686366982726076509e-30 5.140067321535401960e-36
1.191311520940020685e+00 4.747325032358873028e-36 1.375702072442558575e-30 4.747308650165633143e-36
1.194975825944231795e+00 4.385700586980724361e-36 1.122277830831484628e-30 4.385683448359658055e-36
1.198651401830095553e+00 4.052639849866719275e-36 9.155456809710389989e-31 4.052621911038111654e-36
1.202338283265242502e+00 3.745794660284873773e-36 7.469013491312992871e-31 3.745775874795616465e-36
1.206036505023936778e+00 3.463018463122686335e-36 7.611435072460441892e-31 3.463002707299770984e-36
1.209746101987402067e+00 3.202348175852328681e-36 8.133814084140516569e-31 3.202335567999040686e-36
1.213467109144152678e+00 2.961987768376820287e-36 8.692113493156832229e-31 2.961977674926418135e-36
1.217199561590322165e+00 2.740293385506446256e-36 9.288806962143216723e-31 2.740285301383569809e-36
1.220943494529994844e+00 2.535759859641953295e-36 9.926538679966857802e-31 2.535753381994661141e-36
1.224698943275537966e+00 2.347008477100013844e-36 1.060813512419211338e-30 2.347003284446885063e-36
1.228465943247934122e+00 2.172775875636880208e-36 1.133661763499319624e-30 2.172771711303117361e-36
1.232244529977116754e+00 2.011903963309077442e-36 1.211521585647732381e-30 2.011900622261849096e-36
1.236034739102303437e+00 1.863330760032100864e-36 1.294738210523136910e-30 1.863328078411603193e-36
1.239836606372333172e+00 1.726082073211695958e-36 1.383680673003101417e-30 1.726079920001302120e-36
1.243650167646003668e+00 1.599263927769998396e-36 1.478743453105097891e-30 1.599262198164812894e-36
1.247475458892408406e+00 1.482055678882381925e-36 1.541991116723990039e-30 1.482054254433887507e-36
1.251312516191277702e+00 1.373703742894573280e-36 9.133623486457164122e-31 1.373701676837068521e-36
1.255161375733317319e+00 1.273515888291471620e-36 5.456219668517166929e-31 1.273512915832459986e-36
1.259022073820550425e+00 1.180856034324079772e-36 3.259312908268422670e-31 1.180851756072923653e-36
1.262894646866660642e+00 1.095139510041349651e-36 1.946909366982660074e-31 1.095133349899431372e-36
1.266779131397334446e+00 1.015828731086144444e-36 1.162922787702412636e-31 1.015819857762755924e-36
1.270675564050605999e+00 9.424292557518812483e-37 6.946107409116588207e-32 9.424164692975483996e-37
1.274583981577203318e+00 8.744861855154510317e-37 4.148752965395175084e-32 8.744677532304667167e-37
1.278504420840894218e+00 8.115808786021856765e-37 2.477873457070325021e-32 8.115542976665025307e-37
1.282436918818834259e+00 7.533279481434642237e-37 1.479878758880744381e-32 7.532896021568794532e-37
1.286381512601915356e+00 6.993725191917019790e-37 8.838093950209067690e-33 6.993171811039401971e-37
1.290338239395115716e+00 6.493877212913287143e-37 5.278087109020783514e-33 6.493078339143352110e-37
1.294307136517851120e+00 6.030723954981763222e-37 3.358490205807666701e-33 6.029641233294420078e-37
1.298288241404326415e+00 5.601489967164718905e-37 2.563584570598789131e-33 5.600266296378414393e-37
1.302281591603888344e+00 5.203616740060698331e-37 1.956756016720409752e-33 5.202233306046149525e-37
1.306287224781380596e+00 4.834745131220369031e-37 1.493520438501996682e-33 4.833180559649958605e-37
1.310305178717498187e+00 4.492699270016965712e-37 1.139911469102523125e-33 4.490929273379937340e-37
1.314335491309144732e+00 4.175471812273340593e-37 8.699945542145855381e-34 4.173468788093514684e-37
1.318378200569789049e+00 3.881210426795702449e-37 6.639683829015844096e-34 3.878943000453424559e-37
1.322433344629823537e+00 3.608205406695595460e-37 5.067149475642816506e-34 3.605637911446204238e-37
1.326500961736924999e+00 3.354878308095778844e-37 3.866922597345813153e-34 3.351970194005010752e-37
1.330581090256414134e+00 3.119771527607361959e-37 2.950887721882878922e-34 3.116476690202182381e-37
1.334673768671618133e+00 2.901538737930655207e-37 2.251776747948056611e-34 2.897804756414345159e-37
1.338779035584233723e+00 2.698936108147614038e-37 1.718238354059726484e-34 2.694703382087531064e-37
1.342896929714690213e+00 2.510814241819460984e-37 1.345711781879120969e-34 2.506138316512273957e-37
1.347027489902516084e+00 2.336110771936322288e-37 1.084639896955644279e-34 2.331090041487849958e-37
1.351170755106704480e+00 2.173843557153163633e-37 8.741873636243096159e-35 2.168451264828661028e-37
1.355326764406081130e+00 2.023104428636208113e-37 7.045452587436240880e-35 2.017311710277306012e-37
1.359495556999672061e+00 1.883053441285137656e-37 5.678043115623962709e-35 1.876829167270015530e-37
1.363677172207074628e+00 1.752913587133273181e-37 4.575872197587269688e-35 1.746224195501902319e-37
1.367871649468827222e+00 1.631965932397084145e-37 3.687520905277989912e-35 1.624775253538068770e-37
1.372079028346781859e+00 1.519545142983103071e-37 2.971532562548132847e-35 1.511814216595573906e-37
1.376299348524477217e+00 1.415035366297306576e-37 2.394483711071375118e-35 1.406722251751643933e-37
1.380532649807513002e+00 1.317866439965017303e-37 1.929428386437234720e-35 1.308926021711939065e-37
1.384778972123924978e+00 1.227510400587170349e-37 1.554643502809613561e-35 1.217894190932145897e-37
1.389038355524562451e+00 1.143478267950172637e-37 1.252617100849421831e-35 1.133134210350068485e-37
1.393310840183464627e+00 1.065317082197142295e-37 1.028404815414088541e-35 1.054394684211134181e-37
1.397596466398240977e+00 9.926071733722206512e-38 8.513660880205637753e-36 9.811677449567678229e-38
1.401895274590450713e+00 9.249596444874361653e-38 7.047806073529563262e-36 9.129776535383170524e-38
1.406207305305983812e+00 8.620140508462401643e-38 5.834140554329064151e-36 8.494629477351297857e-38
1.410532599215443161e+00 8.034362598047971182e-38 4.829310893703980121e-36 7.902884951101315422e-38
1.414871197114529799e+00 7.489164764725893083e-38 3.997410662115189643e-36 7.351435331577587530e-38
1.419223139924425503e+00 6.981674220605504457e-38 3.308702225959916641e-36 6.837398650801236190e-38
1.423588468692180253e+00 6.509226526869543825e-38 2.738557763567131337e-36 6.358101994412489267e-38
1.427967224591099038e+00 6.069350074589542096e-38 2.266581932629008681e-36 5.911066229885777032e-38
1.432359448921129541e+00 5.659751755686533100e-38 1.875885054118151971e-36 5.493991968739364270e-38
1.436765183109252941e+00 5.278303729850316960e-38 1.552481010066308232e-36 5.104746673549907708e-38
1.441184468709873379e+00 4.923031200939822725e-38 1.284788472385186139e-36 4.741352828124210667e-38
1.445617347405210529e+00 4.592101123440376734e-38 1.079736460953279843e-36 4.404767114215353365e-38
1.450063861005693067e+00 4.283811766012223905e-38 9.087613704577497005e-37 4.090967576037715814e-38
1.454524051450352129e+00 3.996583065080750090e-38 7.648339965149108962e-37 3.798115375887256816e-38
1.458997960807217220e+00 3.728947706834609990e-38 6.436795813917158402e-37 3.524752658211522328e-38
1.463485631273713672e+00 3.479542880965678365e-38 5.416983237975586623e-37 3.269528139162778126e-38
1.467987105177060103e+00 3.247102654034756140e-38 4.558589098566777695e-37 3.031189705432169158e-38
1.472502424974666990e+00 3.030450914521030134e-38 3.836088226081406452e-37 2.808577588855988943e-38
1.477031633254538123e+00 2.828494845440142832e-38 3.227987884342903220e-37 2.600618067051575361e-38
1.481574772735672285e+00 2.640218883927701274e-38 2.716191343097252328e-37 2.406317642184564116e-38
1.486131886268465596e+00 2.464679130409473819e-38 2.285461799653812299e-37 2.224757651332920119e-38
1.490703016835115413e+00 2.300998172934868391e-38 1.922970842252727321e-37 2.055089262868465317e-38
1.495288207550027115e+00 2.148360294970280407e-38 1.620356704505796384e-37 1.896863442814713496e-38
1.499887501660219113e+00 2.006007037442056671e-38 1.379474686573696390e-37 1.751331579617386879e-38
1.504500942545731856e+00 1.873233088111279684e-38 1.174361837328318834e-37 1.615537525202086302e-38
1.509128573720036837e+00 1.749382473471052064e-38 9.997126720049886316e-38 1.488850685850633131e-38
1.513770438830446041e+00 1.633845030291043974e-38 8.510077623764575916e-38 1.370687504938711509e-38
1.518426581658525620e+00 1.526053135716717840e-38 7.243974057764730834e-38 1.260507987263609640e-38
1.523097046120506226e+00 1.425478676467393240e-38 6.166024910124879665e-38 1.157812405367682792e-38
1.527781876267699346e+00 1.331630239183706996e-38 5.248300218496866696e-38 1.062138166993399273e-38
1.532481116286912304e+00 1.244050505361703388e-38 4.467011332868321598e-38 9.730568261249257115e-39
1.537194810500863928e+00 1.162313835586495606e-38 3.801897552023529458e-38 8.901712238178608045e-39
1.541923003368604439e+00 1.086024028953049934e-38 3.235703502462530356e-38 8.131127491720483114e-39
1.546665739485932889e+00 1.014812244643151121e-38 2.753733850184974855e-38 7.415387152862972041e-39
1.551423063585819051e+00 9.483350736242319020e-39 2.350609949272393076e-38 6.757208270623974961e-39
1.556195020538825080e+00 8.862727493528635658e-39 2.018065697486010430e-38 6.158223866892382973e-39
1.560981655353528508e+00 8.283274872123867047e-39 1.732506670631496505e-38 5.603966553894947582e-39
1.565783013176946792e+00 7.742219431927153573e-39 1.487302800217408970e-38 5.091708447832206014e-39
1.570599139294962976e+00 7.236977830395932851e-39 1.276758392550984607e-38 4.618882580087320865e-39
1.575430079132753791e+00 6.765143537630680208e-39 1.095980614810238336e-38 4.183067543272034854e-39
1.580275878255216204e+00 6.324474500060686634e-39 9.407664682934046234e-39 3.781973621022330792e-39
1.585136582367399738e+00 5.912881683376765736e-39 8.075056533638080615e-39 3.413430423355851742e-39
1.590012237314934795e+00 5.528418430562744787e-39 6.930970945357417145e-39 3.075376036490471714e-39
1.594902889084467645e+00 5.169270575673653969e-39 5.948772071087824858e-39 2.765847677101757707e-39
1.599808583804091633e+00 4.833747258444129700e-39 5.105582558867600324e-39 2.482973817178484014e-39
1.604729367743784829e+00 4.520272388900041107e-39 4.381753879408600521e-39 2.224967718479846436e-39
1.609665287315844573e+00 4.227376714927596202e-39 3.774985241495107607e-39 1.994196812890175653e-39
1.614616389075325786e+00 3.953690449239848026e-39 3.261950529886109411e-39 1.787331533430281004e-39
1.619582719720479957e+00 3.697936415409567234e-39 2.818539483515809817e-39 1.599450371032845058e-39
1.624564326093196565e+00 3.458923675613784512e-39 2.435316968296202135e-39 1.429119716713140425e-39
1.629561255179443391e+00 3.235541605488565124e-39 2.104124650271370388e-39 1.274982840312028291e-39
1.634573554109710392e+00 3.026754384039863569e-39 1.817908458093383633e-39 1.135757549000963287e-39
1.639601270159454671e+00 2.831595868906146824e-39 1.570569328105905951e-39 1.010234151211297655e-39
1.644644450749545239e+00 2.649164829447468859e-39 1.356834094648048356e-39 8.972736216469095030e-40
1.649703143446711762e+00 2.478620512145540152e-39 1.172143810366799491e-39 7.958058737574840254e-40
