f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
2821.0	-0.0006973346794832483	-0.0007387957449453796	-0.00033002553712664016	0.0009407875416183319
2822.0	-0.001003229057391214	-0.0004879638029226022	1.5218433656847713e-05	0.0007442626493192833
2823.0	-0.0012387743485100593	-0.00020636263610726677	0.0003591825358205349	0.0005011240265531085
2824.0	-0.0013875542596329892	8.812672932070705e-05	0.0006784686375706083	0.00022667807192072883
2825.0	-0.0014392295576473521	0.0003768185597998338	0.0009513739554290569	-6.181301226079368e-05
2826.0	-0.0013902565402955534	0.0006414080300226653	0.0011593662307864273	-0.0003462169662382863
2827.0	-0.001244129952150255	0.0008651318422500901	0.0012883421814102501	-0.0006086711047997893
2828.0	-0.0010111337012327518	0.0010338302612922644	0.0013295837731263813	-0.0008327042089835234
2829.0	-0.0007076171507697217	0.0011368432813312645	0.0012803474735430787	-0.0010042702166171613
2830.0	-0.0003548479127850257	0.0011676842075677312	0.0011440466624543556	-0.0011126288410975658
2831.0	2.247836106711093e-05	0.0011244480919340378	0.0009300150777925313	-0.0011510179091105944
2832.0	0.0003979667752177324	0.0010099293075193257	0.0006528676852068643	-0.0011170753304799894
2833.0	0.0007453695515857244	0.0008314410106963364	0.00033150273358568976	-0.001012984370284105
2834.0	0.0010404208028164585	0.000600348151089042	-1.2186863241164072e-05	-0.0008453332931409352
2835.0	0.0012625314647818065	0.00033134384784406655	-0.00035480495299267616	-0.0006246983979897097
2836.0	0.0013962260018996022	4.151520511182584e-05	-0.0006730447797055336	-0.0003649768309590024
2837.0	0.0014322206338042254	-0.00025074203926423437	-0.0009452744137060847	-8.251126334603745e-05
