f	gamma
368.0	0.022676969812593352
369.0	0.022003913515453964
370.0	0.021319843820657516
371.0	0.020625281004396166
372.0	0.019920749988002136
373.0	0.01920677998710579
374.0	0.018483904158435083
375.0	0.01775265924449093
376.0	0.017013585216341522
377.0	0.016267224914774704
378.0	0.0155141236900521
379.0	0.01475482904050795
380.0	0.013989890250236937
381.0	0.01321985802611657
382.0	0.012445284134408801
383.0	0.011666721037188254
384.0	0.010884721528841217
385.0	0.01009983837288321
386.0	0.009312623939340103
387.0	0.008523629842938175
388.0	0.007733406582348842
389.0	0.006942503180731931
390.0	0.006151466827820464
391.0	0.005360842523790122
392.0	0.0045711727251539535
393.0	0.0037829969929216245
394.0	0.0029968516432632257
395.0	0.002213269400910516
396.0	0.0014327790555343075
397.0	0.0006559051213263995
398.0	-0.00011683249998116051
399.0	-0.0008849188524327205
400.0	-0.00164784425527711
401.0	-0.0024051046282835362
402.0	-0.0031562018127271104
403.0	-0.0039006438878267475
404.0	-0.004637945482422863
405.0	-0.005367628081684499
406.0	-0.006089220328640894
407.0	-0.006802258320332691
408.0	-0.007506285898387064
409.0	-0.008200854933818932
410.0	-0.008885525605870118
411.0	-0.00955986667469813
412.0	-0.010223455747734027
413.0	-0.010875879539530807
414.0	-0.011516734124929694
415.0	-0.012145625185377007
416.0	-0.012762168248226463
417.0	-0.01336598891887139
418.0	-0.013956723105551086
419.0	-0.014534017236685046
420.0	-0.01509752847059232
421.0	-0.015646924897458066
422.0	-0.016181885733416966
423.0	-0.016702101506626335
424.0	-0.017207274235209586
425.0	-0.01769711759695536
426.0	-0.01817135709066344
427.0	-0.01862973018903578
428.0	-0.01907198648301501
429.0	-0.019497887817480974
430.0	-0.01990720841822068
431.0	-0.02029973501009351
432.0	-0.02067526692632052
433.0	-0.02103361620883195
434.0	-0.021374607699614214
435.0	-0.02169807912300399
436.0	-0.02200388115888312
437.0	-0.02229187750673487
438.0	-0.02256194494052849
439.0	-0.02281397335440561
440.0	-0.023047865799148626
441.0	-0.023263538509417585
442.0	-0.02346092092174905
443.0	-0.023639955683316557
444.0	-0.02380059865145918
445.0	-0.02394281888399153
446.0	-0.02406659862031409
447.0	-0.024171933253350944
448.0	-0.024258831292346614
449.0	-0.024327314316562113
450.0	-0.02437741691991512
451.0	-0.02440918664661696
452.0	-0.024422683917864417
453.0	-0.02441798194965186
454.0	-0.02439516666177408
455.0	-0.02435433657809792
456.0	-0.02429560271818606
457.0	-0.024219088480362614
458.0	-0.024124929516316614
459.0	-0.02401327359734495
