f	aligned	misaligned
110.0	-0.09613594373887585	-0.06357261266463128
111.0	-0.09105431618629095	-0.061974159735700474
112.0	-0.08586986995027575	-0.060287246964929105
113.0	-0.08059932536601747	-0.05851574502566798
114.0	-0.07525918955906973	-0.05666367714864663
115.0	-0.06986572347090467	-0.0547352113726276
116.0	-0.06443490990948073	-0.05273465241007485
117.0	-0.05898242268794401	-0.05066643314463209
118.0	-0.053523596911358516	-0.04853510577837852
119.0	-0.048073400468018036	-0.04634533264796366
120.0	-0.04264640677843512	-0.044101876729805554
121.0	-0.03725676885154737	-0.041809591855576395
122.0	-0.03191819469402995	-0.039473412660182505
123.0	-0.02664392411486926	-0.037098344285372495
124.0	-0.021446706963554822	-0.034689451862981835
125.0	-0.0163387828363657	-0.03225184980261941
126.0	-0.01133186228132408	-0.029790690909354198
127.0	-0.006437109528412355	-0.027311155357623212
128.0	-0.001665126767666801	-0.024818439548192524
129.0	0.0029740600062571378	-0.022317744875529538
130.0	0.007471013568480723	-0.01981426643340015
131.0	0.01181689644671341	-0.01731318168688401
132.0	0.01600348030595282	-0.014819639139301354
133.0	0.02002315373254503	-0.012338747022762421
134.0	0.023868928419039457	-0.009875562041193341
135.0	0.027534443755204002	-0.007435078194746376
136.0	0.03101396983444277	-0.0050222157144779785
137.0	0.03430240888867693	-0.0026418101360702675
138.0	0.03739529516850312	-0.00029860154117715074
139.0	0.040288793289114846	0.002002776005296035
140.0	0.042979695066063674	0.004257804794031615
141.0	0.04546541486842741	0.006462093558747418
142.0	0.04774398352034783	0.008611387285268373
143.0	0.04981404078517662	0.010701576715835964
144.0	0.05167482646963533	0.01272870752295457
145.0	0.05332617018843011	0.014688989127830045
146.0	0.05476847983266894	0.016578803139291984
147.0	0.05600272878819595	0.018394711389998417
148.0	0.05703044195258155	0.02013346354770137
149.0	0.05785368060198041	0.02179200428040098
150.0	0.05847502616138646	0.02336747995532655
151.0	0.05889756293397516	0.024857244852863933
152.0	0.05912485984721699	0.026258866877782682
153.0	0.05916095127527354	0.027570132751409647
154.0	0.05901031699884514	0.028789052669743086
155.0	0.058677861365120355	0.02991386441389478
156.0	0.05816889171178642	0.030943036900688437
157.0	0.05748909612018573	0.031875273162723976
158.0	0.05664452056365682	0.032709512748735486
159.0	0.05564154551786317	0.033444933536620716
160.0	0.0544868621005061	0.03408095295310008
161.0	0.053187447808223216	0.0346172285955644
