f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
26	6.637348570545001e-13	3.5118485543186077e-13	9.95358079283273e-13	4.757207820151426e-13	0.0	0.0	0.0	0.0	2.663976995275309e-13	2.663976995275309e-13	4.0678323049567435e-13	4.0678323049567435e-13	1.7655258064749552e-13	1.7655258064749552e-13	2.42386064221709e-13	2.42386064221709e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	6.892631207873655e-13	3.6469196525616313e-13	1.0336410823326298e-12	4.940177351695712e-13	0.0	0.0	0.0	0.0	2.7664376489397446e-13	2.7664376489397446e-13	4.224287393608926e-13	4.224287393608926e-13	1.8334306451855304e-13	1.8334306451855304e-13	2.517086051533132e-13	2.517086051533132e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	7.147913845202308e-13	3.7819907508046544e-13	1.0719240853819863e-12	5.123146883239997e-13	0.0	0.0	0.0	0.0	2.887381013822815e-13	2.887381013822815e-13	4.3807424822611077e-13	4.3807424822611077e-13	1.9013354838961056e-13	1.9013354838961056e-13	2.6103114608491736e-13	2.6103114608491736e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	7.403196482530961e-13	3.9170618490476776e-13	1.110207088431343e-12	5.306116414784283e-13	0.0	0.0	0.0	0.0	3.097305398756362e-13	3.097305398756362e-13	4.5371975709132904e-13	4.5371975709132904e-13	1.9692403226066808e-13	1.9692403226066808e-13	2.703536870165216e-13	2.703536870165216e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	7.658479119859616e-13	4.052132947290701e-13	1.1484900914806998e-12	5.489085946328569e-13	0.0	0.0	0.0	0.0	3.314595551582314e-13	3.314595551582314e-13	4.693652659565473e-13	4.693652659565473e-13	2.037145161317256e-13	2.037145161317256e-13	2.7967622794812574e-13	2.7967622794812574e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	7.91376175718827e-13	4.187204045533725e-13	1.1867730945300563e-12	5.672055477872854e-13	0.0	0.0	0.0	0.0	3.539251472300671e-13	3.539251472300671e-13	4.850107748217655e-13	4.850107748217655e-13	2.171850021454989e-13	2.171850021454989e-13	2.8899876887972996e-13	2.8899876887972996e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	8.169044394516924e-13	4.322275143776748e-13	1.225056097579413e-12	5.85502500941714e-13	0.0	0.0	0.0	0.0	3.7712731609114333e-13	3.7712731609114333e-13	5.006562836869838e-13	5.006562836869838e-13	2.31422936729439e-13	2.31422936729439e-13	2.9832130981133417e-13	2.9832130981133417e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	8.424327031845577e-13	4.457346242019771e-13	1.2633391006287696e-12	6.037994540961426e-13	0.0	0.0	0.0	0.0	4.0106606174145995e-13	4.0106606174145995e-13	5.16301792552202e-13	5.16301792552202e-13	2.4611286923667875e-13	2.4611286923667875e-13	3.0764385074293834e-13	3.0764385074293834e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	8.679609669174231e-13	4.592417340262794e-13	1.3016221036781263e-12	6.220964072505711e-13	0.0	0.0	0.0	0.0	4.2574138418101716e-13	4.2574138418101716e-13	5.319473014174203e-13	5.319473014174203e-13	2.612547996672182e-13	2.612547996672182e-13	3.1696639167454255e-13	3.1696639167454255e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	8.934892306502885e-13	4.727488438505818e-13	1.339905106727483e-12	6.403933604049997e-13	0.0	0.0	0.0	0.0	4.5115328340981495e-13	4.5115328340981495e-13	5.475928102826385e-13	5.475928102826385e-13	2.7684872802105736e-13	2.7684872802105736e-13	3.262889326061467e-13	3.262889326061467e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	9.190174943831539e-13	4.862559536748841e-13	1.3781881097768398e-12	6.586903135594282e-13	0.0	0.0	0.0	0.0	4.773017594278532e-13	4.773017594278532e-13	5.632383191478568e-13	5.632383191478568e-13	2.9289465429819625e-13	2.9289465429819625e-13	3.3561147353775093e-13	3.3561147353775093e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	9.445457581160193e-13	4.997630634991865e-13	1.4164711128261963e-12	6.769872667138568e-13	0.0	0.0	0.0	0.0	5.04186812235132e-13	5.04186812235132e-13	5.78883828013075e-13	5.78883828013075e-13	3.0939257849863475e-13	3.0939257849863475e-13	3.4493401446935515e-13	3.4493401446935515e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	9.700740218488846e-13	5.132701733234888e-13	1.4547541158755528e-12	6.952842198682853e-13	0.0	0.0	0.0	0.0	5.318084418316513e-13	5.318084418316513e-13	5.945293368782932e-13	5.945293368782932e-13	3.263425006223729e-13	3.263425006223729e-13	3.542565554009593e-13	3.542565554009593e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	9.9560228558175e-13	5.267772831477912e-13	1.4930371189249095e-12	7.135811730227139e-13	0.0	0.0	0.0	0.0	5.60166648217411e-13	5.60166648217411e-13	6.101748457435115e-13	6.101748457435115e-13	3.437444206694108e-13	3.437444206694108e-13	3.635790963325635e-13	3.635790963325635e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	1.0211305493146155e-12	5.402843929720935e-13	1.5313201219742663e-12	7.318781261771425e-13	0.0	0.0	0.0	0.0	5.892614313924114e-13	5.892614313924114e-13	6.309347805985746e-13	6.309347805985746e-13	3.615983386397484e-13	3.615983386397484e-13	3.763020025752621e-13	3.763020025752621e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	1.0466588130474807e-12	5.537915027963958e-13	1.5696031250236228e-12	7.50175079331571e-13	0.0	0.0	0.0	0.0	6.190927913566521e-13	6.190927913566521e-13	6.628758538663774e-13	6.628758538663774e-13	3.799042545333856e-13	3.799042545333856e-13	3.953522914556347e-13	3.953522914556347e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	1.0721870767803464e-12	5.672986126206982e-13	1.6078861280729797e-12	7.684720324859996e-13	0.0	0.0	0.0	0.0	6.496607281101336e-13	6.496607281101336e-13	6.956055956099285e-13	6.956055956099285e-13	3.986621683503226e-13	3.986621683503226e-13	4.148729578392265e-13	4.148729578392265e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	1.0977153405132116e-12	5.808057224450005e-13	1.6461691311223362e-12	7.867689856404281e-13	0.0	0.0	0.0	0.0	6.809652416528553e-13	6.809652416528553e-13	7.291240058292277e-13	7.291240058292277e-13	4.178720800905592e-13	4.178720800905592e-13	4.3486400172603727e-13	4.3486400172603727e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	1.123243604246077e-12	5.943128322693028e-13	1.684452134171693e-12	8.050659387948567e-13	0.0	0.0	0.0	0.0	7.130063319848178e-13	7.130063319848178e-13	7.634310845242754e-13	7.634310845242754e-13	4.3753398975409563e-13	4.3753398975409563e-13	4.553254231160672e-13	4.553254231160672e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	1.1487718679789423e-12	6.078199420936052e-13	1.7227351372210495e-12	8.233628919492853e-13	0.0	0.0	0.0	0.0	7.457839991060206e-13	7.457839991060206e-13	7.985268316950711e-13	7.985268316950711e-13	4.576478973409316e-13	4.576478973409316e-13	4.762572220093161e-13	4.762572220093161e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	1.1743001317118077e-12	6.213270519179075e-13	1.761018140270406e-12	8.416598451037138e-13	0.0	0.0	0.0	0.0	7.792982430164639e-13	7.792982430164639e-13	8.344112473416148e-13	8.344112473416148e-13	4.782138028510672e-13	4.782138028510672e-13	4.97659398405784e-13	4.97659398405784e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	1.1998283954446732e-12	6.348341617422099e-13	1.799301143319763e-12	8.599567982581424e-13	0.0	0.0	0.0	0.0	8.13549063716148e-13	8.13549063716148e-13	8.710843314639072e-13	8.710843314639072e-13	4.992317062845027e-13	4.992317062845027e-13	5.195319523054713e-13	5.195319523054713e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	1.2253566591775384e-12	6.483412715665122e-13	1.8375841463691193e-12	8.782537514125709e-13	0.0	0.0	0.0	0.0	8.485364612050723e-13	8.485364612050723e-13	9.085460840619474e-13	9.085460840619474e-13	5.207016076412376e-13	5.207016076412376e-13	5.418748837083774e-13	5.418748837083774e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	1.250884922910404e-12	6.618483813908146e-13	1.8758671494184764e-12	8.965507045669996e-13	0.0	0.0	0.0	0.0	8.842604354832375e-13	8.842604354832375e-13	9.467965051357362e-13	9.467965051357362e-13	5.426235069212726e-13	5.426235069212726e-13	5.646881926145028e-13	5.646881926145028e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	1.2764131866432693e-12	6.753554912151168e-13	1.9141501524678327e-12	9.14847657721428e-13	0.0	0.0	0.0	0.0	9.207209865506427e-13	9.207209865506427e-13	9.85835594685273e-13	9.85835594685273e-13	5.649974041246069e-13	5.649974041246069e-13	5.879718790238471e-13	5.879718790238471e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	1.3206300684872022e-12	6.888626010394191e-13	1.9524331555171895e-12	9.331446108758566e-13	0.0	0.0	0.0	0.0	9.579181144072886e-13	9.579181144072886e-13	1.0256633527105578e-12	1.0256633527105578e-12	5.87823299251241e-13	5.87823299251241e-13	6.117259429364105e-13	6.117259429364105e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	1.3729272222950387e-12	7.041069236753093e-13	1.990716158566546e-12	9.514415640302853e-13	0.0	0.0	0.0	0.0	9.958518190531753e-13	9.958518190531753e-13	1.0662797792115911e-12	1.0662797792115911e-12	6.111011923011749e-13	6.111011923011749e-13	6.35950384352193e-13	6.35950384352193e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	1.4262398548175899e-12	7.314483537736478e-13	2.028999161615903e-12	9.697385171847138e-13	0.0	0.0	0.0	0.0	1.0345221004883022e-12	1.0345221004883022e-12	1.1076848741883726e-12	1.1076848741883726e-12	6.348310832744083e-13	6.348310832744083e-13	6.606452032711946e-13	6.606452032711946e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	1.4805679660548568e-12	7.593105730167167e-13	2.0672821646652596e-12	9.880354703391423e-13	0.0	0.0	0.0	0.0	1.0739289587126698e-12	1.0739289587126698e-12	1.1498786376409024e-12	1.1498786376409024e-12	6.590129721709416e-13	6.590129721709416e-13	6.858103996934153e-13	6.858103996934153e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	1.5359115560068385e-12	7.876935814045157e-13	2.105565167714616e-12	1.0063324234935708e-12	0.0	0.0	0.0	0.0	1.1140723937262778e-12	1.1140723937262778e-12	1.19286106956918e-12	1.19286106956918e-12	6.836468589907743e-13	6.836468589907743e-13	7.114459736188549e-13	7.114459736188549e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	1.5922706246735355e-12	8.165973789370449e-13	2.1438481707639727e-12	1.0246293766479993e-12	0.0	0.0	0.0	0.0	1.154952405529126e-12	1.154952405529126e-12	1.236632169973206e-12	1.236632169973206e-12	7.087327437339068e-13	7.087327437339068e-13	7.375519250475136e-13	7.375519250475136e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	1.6496451720549484e-12	8.460219656143047e-13	2.1821311738133294e-12	1.042926329802428e-12	0.0	0.0	0.0	0.0	1.1965689941212153e-12	1.1965689941212153e-12	1.2811919388529807e-12	1.2811919388529807e-12	7.342706264003391e-13	7.342706264003391e-13	7.641282539793916e-13	7.641282539793916e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	1.708035198151076e-12	8.759673414362945e-13	2.220414176862686e-12	1.0612232829568566e-12	0.0	0.0	0.0	0.0	1.243671441365805e-12	1.243671441365805e-12	1.3265403762085031e-12	1.3265403762085031e-12	7.620569011887577e-13	7.620569011887577e-13	7.911749604144886e-13	7.911749604144886e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	1.767440702961919e-12	9.064335064030146e-13	2.258697179912043e-12	1.0795202361112853e-12	0.0	0.0	0.0	0.0	1.3091147492530842e-12	1.3091147492530842e-12	1.372677482039774e-12	1.372677482039774e-12	8.021571420991323e-13	8.021571420991323e-13	8.186920443528047e-13	8.186920443528047e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	1.8278616864874772e-12	9.37420460514465e-13	2.2969801829613996e-12	1.0978171892657138e-12	0.0	0.0	0.0	0.0	1.376814503131606e-12	1.376814503131606e-12	1.4196032563467928e-12	1.4196032563467928e-12	8.436400152567329e-13	8.436400152567329e-13	8.474870458930957e-13	8.474870458930957e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	1.8892981487277504e-12	9.689282037706454e-13	2.335263186010756e-12	1.1161141424201421e-12	0.0	0.0	0.0	0.0	1.4468089478486807e-12	1.4468089478486807e-12	1.4673176991295598e-12	1.4673176991295598e-12	8.865289551064281e-13	8.865289551064281e-13	8.905715609437996e-13	8.905715609437996e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	1.95175008968274e-12	1.0009567361715566e-12	2.3735461890601127e-12	1.1344110955745708e-12	0.0	0.0	0.0	0.0	1.5191363282516177e-12	1.5191363282516177e-12	1.5313506467658669e-12	1.5313506467658669e-12	9.308473960930864e-13	9.308473960930864e-13	9.350920957111562e-13	9.350920957111562e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
