f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
27	1.7231578019684128e-12	9.117299131404076e-13	2.584102705831574e-12	1.2350443379239285e-12	0.0	0.0	0.0	0.0	6.916094122349359e-13	6.916094122349359e-13	1.0560718484022318e-12	1.0560718484022318e-12	4.583576612963827e-13	4.583576612963827e-13	6.292715128832827e-13	6.292715128832827e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	1.786978461300576e-12	9.454976877011633e-13	2.6798102134549653e-12	1.2807867208099998e-12	0.0	0.0	0.0	0.0	7.218452534557036e-13	7.218452534557036e-13	1.0951856205652773e-12	1.0951856205652773e-12	4.753338709740264e-13	4.753338709740264e-13	6.52577865212293e-13	6.52577865212293e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1.8507991206327397e-12	9.792654622619191e-13	2.7755177210783567e-12	1.3265291036960713e-12	0.0	0.0	0.0	0.0	7.743263496890904e-13	7.743263496890904e-13	1.1342993927283229e-12	1.1342993927283229e-12	4.923100806516702e-13	4.923100806516702e-13	6.758842175413035e-13	6.758842175413035e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	1.914619779964903e-12	1.013033236822675e-12	2.8712252287017485e-12	1.3722714865821428e-12	0.0	0.0	0.0	0.0	8.286488878955782e-13	8.286488878955782e-13	1.1734131648913686e-12	1.1734131648913686e-12	5.09286290329314e-13	5.09286290329314e-13	6.991905698703141e-13	6.991905698703141e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	1.9784404392970665e-12	1.0468010113834309e-12	2.9669327363251403e-12	1.418013869468214e-12	0.0	0.0	0.0	0.0	8.848128680751675e-13	8.848128680751675e-13	1.2125269370544141e-12	1.2125269370544141e-12	5.429625053637472e-13	5.429625053637472e-13	7.224969221993245e-13	7.224969221993245e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	2.04226109862923e-12	1.0805687859441868e-12	3.0626402439485317e-12	1.4637562523542855e-12	0.0	0.0	0.0	0.0	9.428182902278581e-13	9.428182902278581e-13	1.2516407092174599e-12	1.2516407092174599e-12	5.785573418235974e-13	5.785573418235974e-13	7.45803274528335e-13	7.45803274528335e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	2.1060817579613933e-12	1.1143365605049425e-12	3.158347751571923e-12	1.5094986352403568e-12	0.0	0.0	0.0	0.0	1.0026651543536495e-12	1.0026651543536495e-12	1.2907544813805054e-12	1.2907544813805054e-12	6.152821730916967e-13	6.152821730916967e-13	7.691096268573453e-13	7.691096268573453e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	2.169902417293557e-12	1.1481043350656983e-12	3.254055259195315e-12	1.5552410181264283e-12	0.0	0.0	0.0	0.0	1.0643534604525426e-12	1.0643534604525426e-12	1.329868253543551e-12	1.329868253543551e-12	6.531369991680454e-13	6.531369991680454e-13	7.924159791863558e-13	7.924159791863558e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	2.23372307662572e-12	1.1818721096264542e-12	3.3497627668187068e-12	1.6009834010124998e-12	0.0	0.0	0.0	0.0	1.127883208524537e-12	1.127883208524537e-12	1.3689820257065967e-12	1.3689820257065967e-12	6.921218200526433e-13	6.921218200526433e-13	8.157223315153664e-13	8.157223315153664e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	2.2975437359578838e-12	1.21563988418721e-12	3.445470274442098e-12	1.6467257838985713e-12	0.0	0.0	0.0	0.0	1.1932543985696328e-12	1.1932543985696328e-12	1.4080957978696422e-12	1.4080957978696422e-12	7.322366357454904e-13	7.322366357454904e-13	8.390286838443768e-13	8.390286838443768e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	2.3613643952900474e-12	1.249407658747966e-12	3.54117778206549e-12	1.6924681667846426e-12	0.0	0.0	0.0	0.0	1.2604670305878297e-12	1.2604670305878297e-12	1.447209570032688e-12	1.447209570032688e-12	7.734814462465868e-13	7.734814462465868e-13	8.623350361733873e-13	8.623350361733873e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	2.4251850546222106e-12	1.2831754333087217e-12	3.6368852896888814e-12	1.7382105496707139e-12	0.0	0.0	0.0	0.0	1.3295211045791277e-12	1.3295211045791277e-12	1.4863233421957335e-12	1.4863233421957335e-12	8.158562515559322e-13	8.158562515559322e-13	8.856413885023976e-13	8.856413885023976e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	2.489005713954374e-12	1.3169432078694775e-12	3.732592797312273e-12	1.7839529325567854e-12	0.0	0.0	0.0	0.0	1.4004166205435272e-12	1.4004166205435272e-12	1.525437114358779e-12	1.525437114358779e-12	8.593610516735268e-13	8.593610516735268e-13	9.089477408314082e-13	9.089477408314082e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	2.5528263732865374e-12	1.3507109824302334e-12	3.828300304935665e-12	1.829695315442857e-12	0.0	0.0	0.0	0.0	1.473153578481028e-12	1.473153578481028e-12	1.5773369514964367e-12	1.5773369514964367e-12	9.039958465993708e-13	9.039958465993708e-13	9.40755006438155e-13	9.40755006438155e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	2.6166470326187006e-12	1.3844787569909891e-12	3.924007812559056e-12	1.875437698328928e-12	0.0	0.0	0.0	0.0	1.5477319783916298e-12	1.5477319783916298e-12	1.6571896346659436e-12	1.6571896346659436e-12	9.497606363334638e-13	9.497606363334638e-13	9.883807286390865e-13	9.883807286390865e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	2.6804676919508643e-12	1.4182465315517452e-12	4.019715320182448e-12	1.921180081215e-12	0.0	0.0	0.0	0.0	1.6241518202753333e-12	1.6241518202753333e-12	1.7390139890248214e-12	1.7390139890248214e-12	9.966554208758064e-13	9.966554208758064e-13	1.037182394598066e-12	1.037182394598066e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	2.7442883512830275e-12	1.4520143061125009e-12	4.11542282780584e-12	1.966922464101071e-12	0.0	0.0	0.0	0.0	1.7024131041321377e-12	1.7024131041321377e-12	1.8228100145730693e-12	1.8228100145730693e-12	1.044680200226398e-12	1.044680200226398e-12	1.0871600043150927e-12	1.0871600043150927e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	2.8081090106151915e-12	1.485782080673257e-12	4.211130335429231e-12	2.012664846987143e-12	0.0	0.0	0.0	0.0	1.782515829962044e-12	1.782515829962044e-12	1.9085777113106886e-12	1.9085777113106886e-12	1.0938349743852388e-12	1.0938349743852388e-12	1.1383135577901677e-12	1.1383135577901677e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	2.8719296699473547e-12	1.5195498552340126e-12	4.3068378430526225e-12	2.058407229873214e-12	0.0	0.0	0.0	0.0	1.8644599977650508e-12	1.8644599977650508e-12	1.996317079237678e-12	1.996317079237678e-12	1.1441197433523287e-12	1.1441197433523287e-12	1.19064305502329e-12	1.19064305502329e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	2.935750329279518e-12	1.5533176297947683e-12	4.402545350676014e-12	2.1041496127592854e-12	0.0	0.0	0.0	0.0	1.948245607541159e-12	1.948245607541159e-12	2.086028118354037e-12	2.086028118354037e-12	1.1955345071276677e-12	1.1955345071276677e-12	1.2441484960144597e-12	1.2441484960144597e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	2.9995709886116815e-12	1.5870854043555244e-12	4.498252858299406e-12	2.1498919956453567e-12	0.0	0.0	0.0	0.0	2.0338726592903696e-12	2.0338726592903696e-12	2.1777108286597682e-12	2.1777108286597682e-12	1.2480792657112565e-12	1.2480792657112565e-12	1.298829880763678e-12	1.298829880763678e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	3.0633916479438448e-12	1.62085317891628e-12	4.593960365922798e-12	2.195634378531428e-12	0.0	0.0	0.0	0.0	2.12134115301268e-12	2.12134115301268e-12	2.2713652101548686e-12	2.2713652101548686e-12	1.301754019103094e-12	1.301754019103094e-12	1.3546872092709431e-12	1.3546872092709431e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	3.1272123072760088e-12	1.6546209534770362e-12	4.68966787354619e-12	2.2413767614174997e-12	0.0	0.0	0.0	0.0	2.210651088708093e-12	2.210651088708093e-12	2.366991262839341e-12	2.366991262839341e-12	1.3565587673031813e-12	1.3565587673031813e-12	1.4117204815362566e-12	1.4117204815362566e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	3.191032966608172e-12	1.6883887280377918e-12	4.7853753811695804e-12	2.287119144303571e-12	0.0	0.0	0.0	0.0	2.301802466376606e-12	2.301802466376606e-12	2.4645889867131823e-12	2.4645889867131823e-12	1.412493510311517e-12	1.412493510311517e-12	1.469929697559617e-12	1.469929697559617e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	3.301575171218005e-12	1.7221565025985475e-12	4.881082888792972e-12	2.3328615271896423e-12	0.0	0.0	0.0	0.0	2.394795286018221e-12	2.394795286018221e-12	2.5641583817763946e-12	2.5641583817763946e-12	1.469558248128102e-12	1.469558248128102e-12	1.5293148573410256e-12	1.5293148573410256e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	3.432318055737596e-12	1.7602673091882728e-12	4.976790396416364e-12	2.378603910075714e-12	0.0	0.0	0.0	0.0	2.4896295476329374e-12	2.4896295476329374e-12	2.6656994480289784e-12	2.6656994480289784e-12	1.5277529807529369e-12	1.5277529807529369e-12	1.5898759608804821e-12	1.5898759608804821e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	3.5655996370439737e-12	1.828620884434119e-12	5.0724979040397555e-12	2.4243462929617853e-12	0.0	0.0	0.0	0.0	2.586305251220755e-12	2.586305251220755e-12	2.7692121854709317e-12	2.7692121854709317e-12	1.5870777081860205e-12	1.5870777081860205e-12	1.6516130081779857e-12	1.6516130081779857e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	3.701419915137141e-12	1.898276432541791e-12	5.168205411663148e-12	2.470088675847857e-12	0.0	0.0	0.0	0.0	2.6848223967816737e-12	2.6848223967816737e-12	2.8746965941022563e-12	2.8746965941022563e-12	1.6475324304273537e-12	1.6475324304273537e-12	1.7145259992335377e-12	1.7145259992335377e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	3.8397788900170954e-12	1.9692339535112887e-12	5.263912919286539e-12	2.5158310587339283e-12	0.0	0.0	0.0	0.0	2.7851809843156933e-12	2.7851809843156933e-12	2.9821526739229504e-12	2.9821526739229504e-12	1.7091171474769354e-12	1.7091171474769354e-12	1.7786149340471367e-12	1.7786149340471367e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
